branch,city,customer type,gender,product line,unit price,quantity,tax 5%,total,date,time,payment,cogs,gross margin percentage,gross income,rating
A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.97,2019-01-05,13:08,Ewallet,522.83,4.76,26.14,9.1
C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,76.4,4.76,3.82,9.6
A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.53,2019-03-03,13:23,Credit card,324.31,4.76,16.22,7.4
A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.05,2019-01-27,20:33,Ewallet,465.76,4.76,23.29,8.4
A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.38,2019-02-08,10:37,Ewallet,604.17,4.76,30.21,5.3
C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.62,2019-03-25,18:30,Ewallet,597.73,4.76,29.89,4.1
A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.69,2019-02-25,14:36,Ewallet,413.04,4.76,20.65,5.8
C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,735.6,4.76,36.78,8.0
A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.15,2019-01-10,17:15,Credit card,72.52,4.76,3.63,7.2
B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.75,2019-02-20,13:27,Credit card,164.52,4.76,8.23,5.9
B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.82,2019-02-06,18:07,Ewallet,57.92,4.76,2.9,4.5
B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.14,2019-03-09,17:03,Cash,102.04,4.76,5.1,6.8
A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.49,2019-02-12,10:25,Ewallet,234.75,4.76,11.74,7.1
A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.5,2019-02-07,16:48,Ewallet,431.9,4.76,21.6,8.2
A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.76,35.69,5.7
B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.44,2019-01-15,16:19,Cash,562.32,4.76,28.12,4.5
A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.64,2019-03-11,11:03,Credit card,482.51,4.76,24.13,4.6
A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44,2019-01-01,10:39,Credit card,435.66,4.76,21.78,6.9
A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.21,2019-01-21,18:00,Credit card,164.01,4.76,8.2,8.6
B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.76,4.03,4.4
C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,4.76,21.51,4.8
